0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:32 +0530] "GET /corpseedhrm/client_orders.html HTTP/1.1" 200 23435
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:32 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/nodata.png HTTP/1.1" 200 40870
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:32 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/paytm.png HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:32 +0530] "GET /corpseedhrm/hcustfrontend/fntdjs/jquery.circlechart.js HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:34 +0530] "GET /corpseedhrm/client_inbox.html HTTP/1.1" 200 76625
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:34 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/sendd.png HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:34 +0530] "GET /corpseedhrm/staticresources/images/form.png HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:34 +0530] "GET /corpseedhrm/staticresources/js/app.js HTTP/1.1" 200 7968
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:34 +0530] "GET /corpseedhrm/staticresources/formBuilder/js/form-builder.min.js HTTP/1.1" 200 154311
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:35 +0530] "GET /corpseedhrm/client_documents.html HTTP/1.1" 200 22399
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:36 +0530] "GET /corpseedhrm/client_payments.html HTTP/1.1" 200 39901
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:36 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/broken-link.png HTTP/1.1" 200 5943
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:36 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/mastercard.png HTTP/1.1" 200 16394
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:36 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/slider.png HTTP/1.1" 200 8222
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:36 +0530] "GET /corpseedhrm/hcustfrontend/fntdimages/google_pay.png HTTP/1.1" 200 13948
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:54 +0530] "GET /corpseedhrm/logout.html HTTP/1.1" 200 8731
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:53:55 +0530] "POST /corpseedhrm/trafficcontrol HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Oct/2023:18:54:24 +0530] "POST /corpseedhrm/login.html HTTP/1.1" 200 66174
